Entry	Gene names  (primary )	Cross-reference (STRING)
Q99190	TSC13	4932.YDL015C;
P35184	SQT1	4932.YIR012W;
P28707	SBA1	4932.YKL117W;
P50089		4932.YGR237C;
P38269		4932.YBR124W;
P53169	YBP2	4932.YGL060W;
Q03201	RSM10	4932.YDR041W;
P33759	MRPS5	4932.YBR251W;
P26370	UGA3	4932.YDL170W;
O94143	BUD19	4932.YJL188C;
P53244	ART5	4932.YGR068C;
P33304	AFR1	4932.YDR085C;
P53951	COG5	4932.YNL051W;
P18544	ARG8	4932.YOL140W;
P53934		4932.YNL092W;
P25649	AHC2	4932.YCR082W;
P38287	CSH1	4932.YBR161W;
P00546	CDC28	4932.YBR160W;
P07251	ATP1	4932.YBL099W;
Q04368	CSI1	4932.YMR025W;
Q08054	CSI2	4932.YOL007C;
Q06338	BCP1	4932.YDR361C;
P29589	AHT1	4932.YHR093W;
Q12309	CLF1	4932.YLR117C;
P15790	CKA1	4932.YIL035C;
P35190	CLG1	4932.YGL215W;
P39986	SPF1	4932.YEL031W;
P21192	ACE2	4932.YLR131C;
P15703	BGL2	4932.YGR282C;
Q04659	CSM3	4932.YMR048W;
P38856	YAP1801	4932.YHR161C;
Q06628	ATG13	4932.YPR185W;
P38270	ATG14	4932.YBR128C;
Q03818	ATG16	4932.YMR159C;
P36000	APL2	4932.YKL135C;
P25641	ATG15	4932.YCR068W;
Q12028	APL4	4932.YPR029C;
P29029	CTS1	4932.YLR286C;
P35193	ATG19	4932.YOL082W;
P32316	ACH1	4932.YBL015W;
Q12468	RRI1	4932.YDL216C;
P08521		4932.YOR302W;
Q12092	ATG29	4932.YPL166W;
Q99186	APM4	4932.YOL062C;
Q02948	VPS30	4932.YPL120W;
P40458	ATG32	4932.YIL146C;
Q05789	ATG38	4932.YLR211C;
Q12292	ATG34	4932.YOL083W;
P46983	ATG36	4932.YJL185C;
Q08951	APL5	4932.YPL195W;
P29465	CHS3	4932.YBR023C;
P38153	APM3	4932.YBR288C;
Q99325	ATG40	4932.YOR152C;
P53867	ATG4	4932.YNL223W;
P16550	APA1	4932.YCL050C;
P47113	BFA1	4932.YJR053W;
P19414	ACO1	4932.YLR304C;
P50273	ATP22	4932.YDR350C;
Q04413	API2	4932.YDR525W;
P32463	ACP1	4932.YKL192C;
P53314	CPD1	
Q04930	CRF1	4932.YDR223W;
P07253	CBP6	4932.YBR120C;
Q06675	MCM21	4932.YDR318W;
P43571	BST1	4932.YFL025C;
P30283	CLB5	4932.YPR120C;
Q03705	CGI121	4932.YML036W;
P38113	ADH5	4932.YBR145W;
P39101	CAJ1	4932.YER048C;
Q12433	AHC1	4932.YOR023C;
P06787	CMD1	4932.YBR109C;
P03875	AI1	4932.Q0050;
P32660	DNF1	4932.YER166W;
P32839	BCS1	4932.YDR375C;
P87275	AIM11	4932.YER093C-A;
P28240	ICL1	4932.YER065C;
P25651	CSM1	4932.YCR086W;
P38316	ATG12	4932.YBR217W;
Q08955	CSM4	4932.YPL200W;
P32178	ARO7	4932.YPR060C;
Q07442	BDF2	4932.YDL070W;
P40512	PCI8	4932.YIL071C;
Q06410	ATG17	4932.YLR423C;
Q00776	APM1	4932.YPL259C;
P37898	AAP1	4932.YHR047C;
P38147	CHK1	4932.YBR274W;
P53104	ATG1	4932.YGL180W;
P38065	APL3	4932.YBL037W;
P25568	ATG22	4932.YCL038C;
P27351	APL1	4932.YJR005W;
Q06321	ATG26	4932.YLR189C;
Q08347	BDS1	4932.YOL164W;
Q03981	CSN9	4932.YDR179C;
P22516	CHL1	4932.YPL008W;
P08004	CHS1	4932.YNL192W;
Q06485	ATG33	4932.YLR356W;
P46682	APL6	4932.YGR261C;
P40344	ATG3	4932.YNR007C;
Q12048	ATG41	4932.YPL250C;
Q06032	CST9	4932.YLR394W;
Q07897	CMS1	4932.YLR003C;
P20486	CKS1	4932.YBR135W;
P47134	BIR1	4932.YJR089W;
Q08902	AMF1	4932.YOR378W;
P41815	BAP3	4932.YDR046C;
P32449	ARO4	4932.YBR249C;
P46367	ALD4	4932.YOR374W;
P25296	CNB1	4932.YKL190W;
P40074	AVT6	4932.YER119C;
P38636	ATX1	4932.YNL259C;
P35734	ASK1	4932.YKL052C;
P40471	AYR1	4932.YIL124W;
P38845	CRP1	4932.YHR146W;
P16522	CDC23	4932.YHR166C;
P32458	CDC11	4932.YJR076C;
P38013	AHP1	4932.YLR109W;
P53264	CLD1	4932.YGR110W;
P19454	CKA2	4932.YOR061W;
P38930	CKB2	4932.YOR039W;
Q12674	DNF3	4932.YMR162C;
P38929	PMC1	4932.YGL006W;
Q12675	DNF2	4932.YDR093W;
P27825	CNE1	4932.YAL058W;
P53859	CSL4	4932.YNL232W;
P40353	ATF1	4932.YOR377W;
P35817	BDF1	4932.YLR399C;
Q12348	RRI2	4932.YOL117W;
Q03233	ADD37	4932.YMR184W;
P35181	APS1	4932.YLR170C;
P19880	YAP1	4932.YML007W;
Q07528	ATG20	4932.YDL113C;
Q06671	ATG23	4932.YLR431C;
P38843	CHS7	4932.YHR142W;
P38182	ATG8	4932.YBL078C;
P40019	CHZ1	4932.YER030W;
Q05583	CIA1	4932.YDR267C;
Q01649	CIK1	4932.YMR198W;
P13587	ENA1	4932.YDR040C;
P32907	ATO2	4932.YNR002C;
P08679	CIT2	4932.YCR005C;
A0A023PZB3	FMP49	
P49435	APT1	4932.YML022W;
P38910	HSP10	4932.YOR020C;
P43634	CHA4	4932.YLR098C;
P31383	TPD3	4932.YAL016W;
P38934	BFR1	4932.YOR198C;
Q03687	ANY1	4932.YMR010W;
P43557	FMP32	4932.YFL046W;
Q04924	GTB1	4932.YDR221W;
Q12015	DSC3	4932.YOR223W;
P42935	ELP2	4932.YGR200C;
P43555	EMP47	4932.YFL048C;
Q99222	AFI1	4932.YOR129C;
P00812	CAR1	4932.YPL111W;
Q12150	CSF1	4932.YLR087C;
P03876	AI2	4932.Q0055;
P43639	CKB1	4932.YGL019W;
P39524	DRS2	4932.YAL026C;
P22137	CHC1	4932.YGL206C;
P16639	ATE1	4932.YGL017W;
P37254	ABZ1	4932.YNR033W;
P53296	ATF2	4932.YGR177C;
Q12031	ICL2	4932.YPR006C;
Q12527	ATG11	4932.YPR049C;
P40465	CSM2	4932.YIL132C;
P47130	CSN12	4932.YJR084W;
P12904	SNF4	4932.YGL115W;
P53855	ATG2	4932.YNL242W;
Q00381	APS2	4932.YJR058C;
P24813	CAD1	4932.YDR423C;
P29366	BEM1	4932.YBR200W;
P32873	BEM3	4932.YPL115C;
Q12114	CHS5	4932.YLR330W;
P53744	BIO5	4932.YNR056C;
Q06705	CSR1	4932.YLR380W;
Q12142	ATG9	4932.YDL149W;
P40442	CSS1	4932.YIL169C;
P43600	CSS2	4932.YFR020W;
Q08300	CSS3	4932.YOL159C;
P37302	APE3	4932.YBR286W;
P40416	ATM1	4932.YMR301C;
Q12691	ENA5	4932.YDR038C;
Q06071	BLS1	4932.YLR408C;
P0CD91	AQY1	4932.YPR192W;
P36117	ALY1	4932.YKR021W;
P53943	AQR1	4932.YNL065W;
Q05809	COA4	4932.YLR218C;
P38772	BCD1	4932.YHR040W;
P35497	SOR1	4932.YJR159W;
Q02784	GRX5	4932.YPL059W;
Q12050	ELG1	4932.YOR144C;
P38213	DSF2	4932.YBR007C;
P40008	FMP52	4932.YER004W;
P02992	TUF1	4932.YOR187W;
P40507	AIR1	4932.YIL079C;
P47112	TAH11	4932.YJR046W;
P35201	MIF2	4932.YKL089W;
P38907	CHL4	4932.YDR254W;
P32798	COT1	4932.YOR316C;
Q07457	BRE1	4932.YDL074C;
P53954	ALG11	4932.YNL048W;
P32457	CDC3	4932.YLR314C;
P53968	CRZ1	4932.YNL027W;
Q06538	CSC1	4932.YLR241W;
P22108	APA2	4932.YDR530C;
P38862	ATG7	4932.YHR171W;
Q12157	APC11	4932.YDL008W;
P48016	ATH1	4932.YPR026W;
Q08683	APC5	4932.YOR249C;
P38281	APD1	4932.YBR151W;
P40987	CIN1	4932.YOR349W;
P22135	ATP12	4932.YJL180C;
P38207	APN2	4932.YBL019W;
P32801	ELM1	4932.YKL048C;
Q3E7B2	COA3	4932.YJL062W-A;
P14020	DPM1	4932.YPR183W;
Q06631	BFR2	4932.YDR299W;
Q00955	ACC1	4932.YNR016C;
P38866	FMO1	4932.YHR176W;
P89113	DDR2	4932.YOL052C-A;
P38874	IKI1	4932.YHR187W;
Q06706	IKI3	4932.YLR384C;
Q12676	FOL3	4932.YMR113W;
P47039	BNA3	4932.YJL060W;
P49017	COQ5	4932.YML110C;
P38080	AKL1	4932.YBR059C;
P40450	BNR1	4932.YIL159W;
P38179	ALG3	4932.YBL082C;
P04039	COX8	4932.YLR395C;
P53323	BUD32	4932.YGR262C;
Q01217	ARG5,6	4932.YER069W;
Q01976	YSA1	4932.YBR111C;
P40501	AVT7	4932.YIL088C;
P40529	AGE2	4932.YIL044C;
P06101	CDC37	4932.YDR168W;
Q06697	CDC73	4932.YLR418C;
P43568	CAK1	4932.YFL029C;
P38110	TEL1	4932.YBL088C;
P21306	ATP15	4932.YPL271W;
P21595	DIT2	4932.YDR402C;
P47036	APQ13	
P16474	KAR2	4932.YJL034W;
P50082	AMA1	4932.YGR225W;
P0CD90	AQY2	4932.YLL052C;
P47176	BAT2	4932.YJR148W;
P15274	AMD1	4932.YML035C;
P38720	GND1	4932.YHR183W;
P38231	FMP23	4932.YBR047W;
P53095	DSD1	4932.YGL196W;
P22007	RAM1	4932.YDL090C;
P36001	RMA1	4932.YKL132C;
P47005	DAS1	4932.YJL149W;
P40493	BMT5	4932.YIL096C;
P47015	AIM23	4932.YJL131C;
Q08223	AIM39	4932.YOL053W;
P32074	SEC21	4932.YNL287W;
P38884	AIM18	4932.YHR198C;
P53822	COS1	4932.YNL336W;
Q05611	BSC2	4932.YDR275W;
P38328	ARC40	4932.YBR234C;
Q05949	BUR2	4932.YLR226W;
P24869	CLB2	4932.YPR119W;
P40467	ASG1	4932.YIL130W;
P47143	ADO1	4932.YJR105W;
P53959	COG6	4932.YNL041C;
P46671	FAR3	4932.YMR052W;
P52910	ACS2	4932.YLR153C;
P38892	CRG1	4932.YHR209W;
P32768	FLO1	4932.YAR050W;
P23501	YSR3	4932.YKR053C;
Q07651	FMP45	4932.YDL222C;
Q04868	ELP6	4932.YMR312W;
Q12431	EMC6	4932.YLL014W;
Q07648	DTD1	4932.YDL219W;
P38774	DOG1	4932.YHR044C;
Q07872	ENT4	4932.YLL038C;
Q05785	ENT2	4932.YLR206W;
Q99382	ENV10	4932.YLR065C;
Q08651	ENV9	4932.YOR246C;
P21182	SPE2	4932.YOL052C;
P40515	FIS1	4932.YIL065C;
P15646	NOP1	4932.YDL014W;
P54858	DOS2	4932.YDR068W;
P08417	FUM1	4932.YPL262W;
Q08907	FIT3	4932.YOR383C;
Q04949	DYN3	4932.YMR299C;
P25613	ADY2	4932.YCR010C;
Q03048	COF1	4932.YLL050C;
Q04728	ARG7	4932.YMR062C;
P25656	CDC50	4932.YCR094W;
Q12380	ATG5	4932.YPL149W;
P38813	BIG1	4932.YHR101C;
P40013	BIM1	4932.YER016W;
P00830	ATP2	4932.YJR121W;
Q04601	APC4	4932.YDR118W;
Q01896	ENA2	4932.YDR039C;
P53940	APJ1	4932.YNL077W;
Q03153	ATP25	4932.YMR098C;
P47001	CIS3	4932.YJL158C;
Q12510	CMR1	4932.YDL156W;
P17898	CPT1	4932.YNL130C;
P22580	AMD2	4932.YDR242W;
P60010	ACT1	4932.YFL039C;
Q12365	BBP1	4932.YPL255W;
P53847	DSL1	4932.YNL258C;
Q02884	ELP4	4932.YPL101W;
P29703	RAM2	4932.YKL019W;
Q12168	ACF2	4932.YLR144C;
P09032	GCD1	4932.YOR260W;
P32501	GCD6	4932.YDR211W;
P06103	PRT1	4932.YOR361C;
Q06337	EAF1	4932.YDR359C;
P14772	BPT1	4932.YLL015W;
P00729	PRC1	4932.YMR297W;
Q3E829	MHF2	4932.YDL160C-A;
Q12140	BSC1	4932.YDL037C;
P53062	BRR6	4932.YGL247W;
P04037	COX4	4932.YGL187C;
P00424	COX5A	4932.YNL052W;
Q12406	ARP7	4932.YPR034W;
Q12509	ARP6	4932.YLR085C;
P38115	ARA1	4932.YBR149W;
Q05955	ADY4	4932.YLR227C;
P53197	CDH1	4932.YGL003C;
P53068	DOC1	4932.YGL240W;
P01097	INH1	4932.YDL181W;
Q12349	ATP14	4932.YLR295C;
P81450	ATP18	4932.YML081C-A;
P18496	ATP10	4932.YLR393W;
Q12359	ATO3	4932.YDR384C;
P17891	CLC1	4932.YGR167W;
P38832	ANS1	4932.YHR126C;
Q07786	SOR2	4932.YDL246C;
Q02883	FMP30	4932.YPL103C;
P37292	SHM1	4932.YBR263W;
P38137	PCS60	4932.YBR222C;
P33317	DUT1	4932.YBR252W;
P36033	FRE2	4932.YKL220C;
P38731	ARN1	4932.YHL040C;
O13558	BSC3	4932.YLR465C;
P00427	COX6	4932.YHR051W;
Q08004	BUD20	4932.YLR074C;
